City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
232,Buraydah,SA,2022-01-31 23:33:07,26.326,43.975,54.05,36,14,9.91
233,Dickinson,US,2022-01-31 23:33:08,29.4608,-95.0513,60.04,93,100,1.99
234,Krasnovishersk,RU,2022-01-31 23:33:09,60.4078,57.082,-3.06,100,94,3.27
235,Touros,BR,2022-01-31 23:33:10,-5.1989,-35.4608,79.7,73,63,12.88
236,Nouadhibou,MR,2022-01-31 23:33:11,20.931,-17.0347,66.18,77,100,9.22
237,Skjervoy,NO,2022-01-31 23:33:12,70.0311,20.9714,31.1,53,100,9.33
238,Isangel,VU,2022-01-31 23:33:13,-19.55,169.2667,82.51,89,100,5.75
239,Lorengau,PG,2022-01-31 23:33:14,-2.0226,147.2712,77.83,90,100,10.31
240,Mastic Beach,US,2022-01-31 23:33:14,40.7668,-72.8521,27.14,63,0,1.99
241,Puerto Del Rosario,ES,2022-01-31 23:33:15,28.5004,-13.8627,69.48,64,100,8.05
242,Marzuq,YE,2022-01-31 23:33:16,14.4,46.4667,59.72,64,54,5.59
243,Angoram,PG,2022-01-31 23:33:17,-4.0625,144.0661,77.02,89,100,3.69
244,Henties Bay,NA,2022-01-31 23:33:18,-22.116,14.2845,69.85,78,100,6.31
245,Kanniyakumari,IN,2022-01-31 23:33:19,8.0833,77.5667,76.64,83,1,13.98
246,Tera,NE,2022-01-31 23:33:19,14.0078,0.7531,68.65,14,1,10.94
247,Nieuw Amsterdam,SR,2022-01-31 23:33:20,5.8833,-55.0833,80.62,83,40,6.91
248,Geilo,NO,2022-01-31 23:33:20,60.5333,8.2076,12.11,88,100,7.85
249,Acari,PE,2022-01-31 23:33:21,-15.4311,-74.6158,72.95,76,100,6.15
250,Flinders,AU,2022-01-31 23:30:28,-34.5833,150.8552,83.8,73,11,5.99
251,Kapit,MY,2022-01-31 23:32:38,2.0167,112.9333,73.81,98,99,1.7
252,Parabel,RU,2022-01-31 23:33:23,58.6978,81.4825,4.84,95,83,7.74
